,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
38,Marcus Rashford,https://img.a.transfermarkt.technology/portrait/small/258923-1565603308.png?lm=1,70,Extremo izquierdo,24,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,"['Inglaterra', 'San Cristóbal y Nieves']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/225.png?lm=1520611569']",26,5,2,272,1.360,,
39,Nicolò Barella,https://img.a.transfermarkt.technology/portrait/small/255942-1582023619.jpg?lm=1,70,Mediocentro,25,Inter de Milán,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],37,2,10,1.516,3.031,,
40,Leroy Sané,https://img.a.transfermarkt.technology/portrait/small/192565-1624802554.jpg?lm=1,70,Extremo izquierdo,26,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Alemania', 'Francia']","['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525', 'https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569']",37,14,15,186,2.600,,
41,Serge Gnabry,https://img.a.transfermarkt.technology/portrait/small/159471-1570373116.jpg?lm=1,70,Extremo derecho,26,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Alemania', 'Costa de Marfil']","['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525', 'https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569']",36,13,9,171,2.221,,
42,Leon Goretzka,https://img.a.transfermarkt.technology/portrait/small/153084-1540568530.jpg?lm=1,70,Mediocentro,27,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,['Alemania'],['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525'],18,2,2,702,1.403,,
43,Bukayo Saka,https://img.a.transfermarkt.technology/portrait/small/433177-1582630395.jpg?lm=1,65,Interior derecho,20,Arsenal FC,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,"['Inglaterra', 'Nigeria']","['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569']",33,10,5,251,2.512,,
44,Federico Valverde,https://img.a.transfermarkt.technology/portrait/small/369081-1581501132.jpg?lm=1,65,Mediocentro,23,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,"['Uruguay', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",33,1,1,1.860,1.860,,
45,Christopher Nkunku,https://img.a.transfermarkt.technology/portrait/small/344381-1613997042.jpg?lm=1,65,Mediocentro ofensivo,24,RasenBallsport Leipzig,https://tmssl.akamaized.net/images/wappen/verysmall/23826.png?lm=1619431624,"['Francia', 'RD del Congo']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569']",39,26,15,122,3.176,,
46,Gianluigi Donnarumma,https://img.a.transfermarkt.technology/portrait/small/315858-1639581006.jpg?lm=1,65,Portero,23,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],19,,,,1.710,17,8
47,Andrew Robertson,https://img.a.transfermarkt.technology/portrait/small/234803-1559827085.jpg?lm=1,65,Lateral izquierdo,28,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Escocia'],['https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569'],34,1,13,2.848,2.848,,
48,Milan Skriniar,https://img.a.transfermarkt.technology/portrait/small/204069-1598256813.jpg?lm=1,65,Defensa central,27,Inter de Milán,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,['Eslovaquia'],['https://tmssl.akamaized.net/images/flagge/verysmall/154.png?lm=1520611569'],37,4,,840,3.360,,
49,Thibaut Courtois,https://img.a.transfermarkt.technology/portrait/small/108390-1572942947.jpg?lm=1,65,Portero,29,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,['Bélgica'],['https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569'],40,,,,3.630,33,17
50,Gavi,https://img.a.transfermarkt.technology/portrait/small/646740-1639926055.jpg?lm=1,60,Mediocentro,17,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],36,2,5,1.122,2.244,,
51,Ansu Fati,https://img.a.transfermarkt.technology/portrait/small/466810-1560761660.jpg?lm=1,60,Extremo izquierdo,19,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,"['España', 'Guinea-Bissau']","['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/60.png?lm=1520611569']",10,5,1,91,455,,
